System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
2025-10-25 21:37:38,1613.57,30.50,54.00,167,187
2025-10-25 21:37:43,1618.59,30.40,54.00,166,187
2025-10-25 21:37:48,1623.62,30.20,54.00,166,188
2025-10-25 21:37:53,1628.65,30.80,54.00,167,186
2025-10-25 21:37:58,1633.67,30.80,54.00,168,187
2025-10-25 21:38:04,1638.70,30.40,54.00,163,181
2025-10-25 21:38:09,1643.72,30.60,54.00,164,182
2025-10-25 21:38:14,1648.75,30.50,54.00,164,182
2025-10-25 21:38:19,1653.77,30.40,54.00,164,182
2025-10-25 21:38:24,1658.80,30.60,54.00,165,183
2025-10-25 21:38:29,1663.82,30.00,54.00,166,188
2025-10-25 21:38:34,1668.85,30.80,54.00,166,188
2025-10-25 21:38:39,1673.88,30.10,54.00,166,187
2025-10-25 21:38:44,1678.90,30.70,54.00,166,186
2025-10-25 21:38:49,1683.93,30.10,54.00,166,186
2025-10-25 21:38:54,1688.95,30.60,54.00,166,187
2025-10-25 21:38:59,1693.98,30.30,54.00,166,188
2025-10-25 21:39:04,1699.00,30.90,54.00,166,187
2025-10-25 21:39:09,1704.03,30.10,54.00,169,191
2025-10-25 21:39:14,1709.05,30.80,54.00,169,190
2025-10-25 21:39:19,1714.08,30.30,54.00,169,189
2025-10-25 21:39:24,1719.10,30.30,54.00,168,187
2025-10-25 21:39:29,1724.13,30.20,54.00,167,184
2025-10-25 21:39:34,1729.15,30.70,54.00,166,184
2025-10-25 21:39:39,1734.18,30.00,54.00,165,183
2025-10-25 21:39:44,1739.20,30.80,54.00,165,183
2025-10-25 21:39:49,1744.23,30.30,54.00,167,187
2025-10-25 21:39:54,1749.25,30.20,54.00,168,188
2025-10-25 21:39:59,1754.28,30.60,54.00,169,193
2025-10-25 21:40:04,1759.31,30.20,54.00,169,194
2025-10-25 21:40:09,1764.33,30.70,54.00,169,193
2025-10-25 21:40:14,1769.36,30.20,54.00,169,192
2025-10-25 21:40:19,1774.38,30.70,54.00,166,189
2025-10-25 21:40:24,1779.41,30.90,54.00,165,185
2025-10-25 21:40:29,1784.43,30.60,54.00,166,186
2025-10-25 21:40:34,1789.46,30.30,54.00,168,186
2025-10-25 21:40:39,1794.49,30.90,54.00,168,186
2025-10-25 21:40:44,1799.51,30.60,54.00,168,187
2025-10-25 21:40:49,1804.54,30.30,54.00,168,186
2025-10-25 21:40:54,1809.56,30.40,54.00,166,184
2025-10-25 21:40:59,1814.59,30.00,54.00,165,185
2025-10-25 21:41:04,1819.61,30.50,54.00,166,186
2025-10-25 21:41:09,1824.64,30.40,54.00,165,186
2025-10-25 21:41:14,1829.66,30.50,54.00,164,185
2025-10-25 21:41:19,1834.69,30.20,54.00,165,186
2025-10-25 21:41:25,1839.71,30.90,54.00,165,186
2025-10-25 21:41:30,1844.74,30.90,54.00,163,185
2025-10-25 21:41:35,1849.77,30.80,54.00,165,187
2025-10-25 21:41:40,1854.79,30.80,54.00,166,188
2025-10-25 21:41:45,1859.82,30.30,54.00,166,188
2025-10-25 21:41:50,1864.84,30.60,54.00,167,189
2025-10-25 21:41:55,1869.87,30.30,54.00,166,186
2025-10-25 21:42:00,1874.89,30.90,54.00,166,186
2025-10-25 21:42:05,1879.92,30.40,54.00,171,191
2025-10-25 21:42:10,1884.95,30.80,54.00,171,190
2025-10-25 21:42:15,1889.97,30.30,54.00,172,191
2025-10-25 21:42:20,1895.00,30.90,54.00,175,196
2025-10-25 21:42:25,1900.02,30.10,54.00,172,194
2025-10-25 21:42:30,1905.05,30.20,54.00,172,194
2025-10-25 21:42:35,1910.07,30.80,54.00,172,194
2025-10-25 21:42:40,15.10,30.30,54.00,172,194
2025-10-25 21:42:45,1920.12,30.30,54.00,176,198
2025-10-25 21:42:50,1925.15,30.00,54.00,176,198
2025-10-25 21:42:55,1930.17,30.10,54.00,176,198
2025-10-25 21:43:00,1935.20,30.80,54.00,171,194
2025-10-25 21:43:05,1940.22,30.80,54.00,171,193
2025-10-25 21:43:10,1945.25,30.40,54.00,170,191
2025-10-25 21:43:15,1950.27,30.50,54.00,170,190
2025-10-25 21:43:20,1955.30,30.40,54.00,171,192
2025-10-25 21:43:25,1960.33,30.20,54.00,171,191
2025-10-25 21:43:30,1965.35,30.10,54.00,170,190
2025-10-25 21:43:35,1970.38,30.90,54.00,170,190
2025-10-25 21:43:40,1975.40,30.00,54.00,171,190
2025-10-25 21:43:45,1980.43,30.00,54.00,171,189
2025-10-25 21:43:50,1985.45,30.90,54.00,171,190
2025-10-25 21:43:55,1990.48,30.50,54.00,171,190
